Epoch,Current Loss,Average Loss,Learning Rate
1,2.082510232925415,45.899396795034406,0.0001
2,5.45607852935791,45.88554995656013,0.0001
3,142.01593017578125,46.94523383080959,0.0001
4,0.8747767806053162,45.837976711988446,0.0001
5,3.0231759548187256,45.843977868556976,0.0001
6,31.05401039123535,46.046279752254485,0.0001
7,104.57782745361328,46.566307723522186,0.0001
8,2.140805244445801,45.68594768643379,0.0001
9,17.005483627319336,45.42069470584393,0.0001
10,92.95538330078125,44.87622803449631,0.0001
11,3.1726086139678955,43.718296736478806,0.0001
12,92.76949310302734,42.79526908397675,0.0001
13,113.30148315429688,45.543885535001756,0.0001
14,2.180663585662842,43.25703066587448,0.0001
15,6.5645270347595215,43.559528946876526,0.0001
16,9.613243103027344,43.10300360918045,0.0001
17,0.8412297368049622,42.17393632531166,0.0001
18,241.21502685546875,42.50659164190292,0.0001
19,68.25080108642578,39.49351798892021,0.0001
20,91.24178314208984,38.19985455274582,0.0001
21,3.254606246948242,38.32426097393036,0.0001
22,1.2283337116241455,40.502776712179184,0.0001
23,23.470998764038086,38.728816664218904,0.0001
24,1.3664329051971436,38.82313052415848,0.0001
25,0.6109758615493774,37.84011995792389,0.0001
26,3.9342362880706787,36.45293306708336,0.0001
27,5.979520797729492,38.02258021831513,0.0001
28,238.29542541503906,47.76825736165047,0.0001
29,33.91099166870117,42.65957280397415,0.0001
30,83.94108581542969,42.269978639483455,0.0001
31,59.86324691772461,39.46600131988525,0.0001
32,20.787546157836914,36.4747687548399,0.0001
33,195.35887145996094,36.16263025999069,0.0001
34,62.40279006958008,35.12836571931839,0.0001
35,77.38069152832031,34.87808929681778,0.0001
36,5.503716945648193,35.41479682922363,0.0001
37,79.8607406616211,44.544785565137865,0.0001
38,27.916799545288086,39.4775257229805,0.0001
39,1.6357547044754028,39.52125848531723,0.0001
40,201.60887145996094,37.734334248304364,0.0001
41,28.33164405822754,34.52517163157463,0.0001
42,5.954939842224121,33.21301457285881,0.0001
43,8.5233793258667,32.68372229933739,0.0001
44,32.415504455566406,32.8880927413702,0.0001
45,3.8420069217681885,31.812369060516357,0.0001
46,88.31273651123047,35.571595925092694,0.0001
47,27.841781616210938,32.0966500878334,0.0001
